RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,vote_choice_undecided,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region
242,2,2,True,1.0,,False,False,False,1.0,2,,1,8,58,,False,2,2,34,0.679794492539998,2.0,2.0,2.0,3.0,2,False,2,1
247,1,2,True,3.0,,False,False,False,2.0,1,,2,8,90,,False,1,1,48,0.65240342502,2.0,2.0,1.0,3.0,1,True,2,3
257,2,2,True,1.0,,False,True,True,1.0,2,,3,7,85,,False,1,1,6,0.55547847482,2.0,2.0,2.0,3.0,1,True,2,4
272,2,2,True,1.0,,False,True,True,1.0,2,,1,7,71,,False,1,2,37,0.622354600919999,2.0,2.0,2.0,3.0,1,False,2,3
275,1,9,True,1.0,,True,False,False,9.0,3,1.0,2,9,99,1.0,False,9,2,27,0.966935392550001,1.0,1.0,3.0,3.0,9,False,3,2
298,2,2,True,1.0,,False,False,False,1.0,1,,2,7,63,,False,1,2,1,0.59886952164,1.0,1.0,1.0,3.0,1,False,2,3
301,2,3,True,1.0,,True,False,True,1.0,1,,3,7,31,,False,1,1,48,0.816024339239998,1.0,1.0,1.0,1.0,1,True,2,3
305,2,2,True,1.0,,False,False,True,2.0,3,1.0,3,7,36,,True,4,2,36,0.735678106650003,2.0,2.0,3.0,2.0,4,False,2,1
328,1,2,True,1.0,,True,False,True,1.0,1,,2,3,61,,False,1,2,39,1.3837018743,1.0,1.0,1.0,3.0,1,False,1,2
329,1,2,True,1.0,,True,False,True,1.0,1,,2,6,77,,False,2,2,37,1.04062685514,1.0,1.0,1.0,3.0,2,False,2,3
334,2,2,True,1.0,,False,False,False,1.0,2,,3,8,74,,False,1,1,26,0.56123550548,2.0,2.0,2.0,3.0,1,True,2,2
335,2,1,False,,,False,False,False,,4,1.0,1,6,67,,False,1,1,40,1.0124473171,,,1.0,3.0,1,True,2,3
