RESPID,PHTYPE,approve_trump,approve_biden,optimistic,party,party_unaffiliated,state,FINALWGT,vote_choice_recoded,male,registered_vote_True,region_2,region_3,region_4,economic_situation_2,economic_situation_3,economic_situation_9,likely_to_vote_2.0,likely_to_vote_3.0,likely_to_vote_4.0,likely_to_vote_9.0,education_recoded_2,education_recoded_3,elec_enthusiasm_2.0,elec_enthusiasm_3.0,elec_enthusiasm_9.0,political_leaning_2,political_leaning_3,political_leaning_4,race_recoded_2,race_recoded_3,race_recoded_4,race_recoded_9,party_recoded_2.0,party_recoded_3.0,age_recoded_2.0,age_recoded_3.0
559,1,False,True,True,3,2.0,19,0.932472837250001,2.0,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
560,1,False,False,False,3,1.0,48,2.10801027765,2.0,False,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
562,1,False,False,True,2,,1,0.622354600919999,2.0,False,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
567,1,True,False,True,1,,5,1.23952190814,1.0,True,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
569,1,False,True,False,2,,19,1.2924319293,2.0,True,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
587,1,False,False,True,3,3.0,48,0.671673382349997,1.0,True,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
590,1,False,False,True,4,1.0,17,1.03857234655,1.0,True,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
592,1,True,False,True,1,,48,1.20945452766,1.0,False,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
595,2,True,False,True,1,,48,1.50237647016,1.0,True,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
599,1,False,True,True,2,,19,1.4379646929,2.0,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
603,1,False,True,True,4,2.0,27,0.932472837250001,2.0,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
606,2,True,False,True,1,,48,1.50237647016,1.0,True,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
611,1,False,False,True,1,,40,0.65240342502,2.0,True,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
615,2,False,False,True,1,,1,1.23952190814,1.0,True,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
623,2,False,False,True,3,1.0,27,0.4677948181,1.0,True,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
625,1,False,True,False,2,,48,1.62822537232,2.0,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
628,1,False,False,False,3,1.0,48,1.3708893623,1.0,True,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
632,2,True,False,True,3,3.0,5,0.5187381311,1.0,False,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
648,2,False,False,True,2,,55,1.4379646929,2.0,False,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
660,1,False,True,True,2,,22,1.28813061042,2.0,True,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
661,1,False,False,False,3,2.0,48,1.3992722026,2.0,True,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
672,1,True,False,True,1,,28,0.59886952164,1.0,False,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
678,2,False,False,True,2,,6,0.55547847482,2.0,True,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
681,1,False,False,False,1,,41,0.86474767068,1.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
683,1,False,False,True,1,,6,0.53451702294,1.0,True,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
685,1,True,False,True,1,,8,1.20945452766,1.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
690,2,False,False,False,2,,34,0.815331968120002,2.0,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
697,1,False,True,False,2,,6,0.61802746998,2.0,False,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
699,2,False,False,False,4,1.0,2,0.46299628165,1.0,True,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
700,1,False,False,False,1,,6,0.53451702294,1.0,True,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
702,2,False,False,True,3,2.0,35,0.607630640950002,2.0,True,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
706,1,False,False,False,3,2.0,41,1.02791890025,2.0,True,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
708,2,False,False,False,2,,41,0.55547847482,2.0,True,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
709,1,False,False,False,1,,4,1.34706982992,1.0,True,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
711,1,True,False,True,3,3.0,6,0.922907736599999,1.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
712,1,False,False,True,3,9.0,35,0.915398472049998,1.0,False,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
713,2,False,False,False,3,3.0,41,0.922907736599999,2.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
717,2,False,False,False,3,3.0,30,0.983031707100002,1.0,False,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
721,1,False,False,False,3,2.0,8,0.883541557749999,2.0,True,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
723,2,False,False,True,3,1.0,19,0.62914356385,2.0,True,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
725,2,False,True,True,2,,56,0.677987873060001,2.0,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
729,1,False,False,True,1,,4,0.675070772820003,2.0,False,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
737,2,False,True,True,2,,35,0.754331893720001,2.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
741,1,False,False,False,3,2.0,53,0.922907736599999,2.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
743,1,False,False,True,2,,6,1.2854131234,2.0,False,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
744,1,False,True,True,3,2.0,53,0.55389254385,2.0,False,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
745,1,True,False,False,1,,41,0.990911464559998,1.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
748,2,False,False,False,2,,6,0.574778225539998,2.0,False,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
749,2,False,False,True,2,,4,0.701544136460002,2.0,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
756,1,False,True,False,2,,6,1.92708243163999,2.0,False,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
760,1,True,False,True,4,1.0,6,0.55389254385,1.0,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
761,1,True,False,True,1,,2,0.59470567866,1.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
764,1,False,False,False,2,,6,0.61802746998,2.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
774,2,False,False,False,2,,41,1.02977073768,2.0,False,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
775,2,False,False,True,1,,6,1.15097388234,2.0,True,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
780,2,True,False,True,4,2.0,6,0.55389254385,2.0,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
781,2,False,False,False,2,,6,0.61802746998,2.0,False,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
