RESPID	PHTYPE	S1	S2	S3	S4	S5	S6	S7	S8	QX1	QX1A	QX2	QX3	QX3A	QX4	Q1	Q1A	Q1X	Q1Y	Q1Z	Q2	Q3	Q4A	Q4B	Q5	Q6	Q7	Q8	QD1	QD1A	QD2	QD3	QD4	QD4A	QD5	QD6	QD7	QD8	FINWGT
233	2	2	1	1	1	1	3	115	7	1		0	2					98					2	2	4	2	1	1	3	1	5	7	71		2	1	9	1	0.793474606
236	2	1	1	1	1	1	1	59	7	1		0	9										3	1	1	1	4	2	4	3	5	7	69		2	1	4	1	0.557140276
237	2	1	1	1	1	1	3	5	6	1		1	2			9	99				10	1	1	1	4	9	9	2	2		1	3	59		2	1	2	2	0.996076978
240	2	2	2	2	1	1	2	7	1	1		3			1								2	2	4	9	9	1	3	1	3	3	52		2	1	9	2	0.856069335
241	2	1	1	1	1	1	1	123	2	1		1	2			1					1	1	1	1	4	1	4	2	2		4	3	78		2	1	1	2	0.510023142
244	2	1	2	1	1	1	2	125	14	1		1	2			98	99				10	1	9	9	2	3	2	2	2		3	3	79		2	2	2	2	0.753791303
247	2	1	2	2	1	1	1	163	12	1		0	9										1	1	4	9	2	2	3	1	1	3	72		2	2	4	1	0.605822675
249	2	1	2	1	1	2	1	163	13	1		1	1										2	2	4	2	1	1	1		4	3	79		2	1	1	2	0.586743248
250	2	2	2	2	2	1	2	125	9	1		2	1										2	2	1	1	1	2	1		2	7	87		2	1	3	1	0.493419799
252	2	1	1	1	1	1	3	125	11	1		1	2			2					1	2	1	1	4	1	4	2	2		1	8	74		2	1	3	1	0.66566651
253	2	2	2	2	1	1	1	161	12	1		1	2			1					1	1	1	1	4	9	3	2	2		2	8	74		2	1	2	2	0.467399486
254	2	1	1	1	1	1	2	59	7	1		4			1								9	1	4	3	3	1	3	2	4	7	88		2	1	3	2	0.588156494
255	2	1	2	1	1	1	3	77	6	1		0	2					4	9		8	2	1	1	4	1	3	2	2		2	7	66		2	1	3	2	0.768485377
258	2	1	1	1	1	1	2	17	5	1		0	2					1			8	3	1	1	4	4	9	2	2		1	3	72		2	1	1	2	0.555924288
260	2	2	2	1	1	1	1	147	10	1		1	1										9	9	4	2	2	9	3	3	4	6	80		2	1	2	2	0.510023142
261	2	1	1	1	1	1	3	91	7	1		1	1										2	2	1	1	1	1	1		5	8	72		2	1	9	2	0.768485377
265	2	1	1	1	1	1	1	163	12	1		1	1										2	2	4	1	2	1	3	1	3	6	75		2	1	4	1	0.605822675
266	2	1	2	2	1	1	1	125	14	1		1	2			1					1	2	9	1	4	4	3	2	3	2	3	6	54		9	1	2	2	0.932908
267	2	2	2	2	1	1	3	93	8	1		2	9	1									2	2	4	1	1	1	3	1	5	5	70		2	1	4	2	0.996076978
268	2	1	2	1	1	1	2	161	12	1		1	2			99	99				10	1	1	1	4	2	3	2	2		3	5	53		2	1	3	1	1.016868006
270	2	1	1	1	1	1	1	33	1	1		1	1										2	2	2	2	2	1	1		5	5	68		2	1	3	1	0.526607823
274	2	2	2	2	1	1	1	151	10	1		1	1										2	2	4	2	1	1	3	3	4	4	66		2	1	9	2	0.510023142
277	2	2	2	2	2	1	2	49	5	1		4			1								1	1	4	2	2	2	2		3	3	53		1	5	1	1	0.978215005
278	2	1	2	1	1	1	3	141	1	1		2	2			1					1	1	1	1	4	9	9	2	2		4	8	78		2	1	9	1	0.578626727
280	2	1	1	1	1	1	3	49	5	1		1	2			1					3	1	1	1	4	2	2	2	2		3	7	67		2	1	4	2	0.560403792
281	2	1	1	1	1	1	2	49	5	1		1	2			99	99				10	1	1	1	4	2	4	2	3	2	2	5	64		2	9	3	2	0.655228689
282	2	2	2	1	1	1	2	163	13	1		1	9	9									2	2	4	3	9	1	3	3	9	3	80		2	1	9	1	0.660345603
284	2	2	2	2	1	2	1	143	4	1		2	2			1					1	1	1	1	4	1	4	4	1		4	3	64		2	1	3	2	0.510023142
285	2	1	1	2	1	1	1	107	4	1		2	1										2	2	4	2	1	1	1		5	7	59		2	1	3	2	0.605934779
287	2	2	1	1	1	1	2	163	13	3	9				1								1	1	2	9	4	4	2		3	2	83		2	2	1	2	0.753791303
288	2	1	1	1	1	1	1	93	8	1		0	1										9	2	4	1	2	1	1		3	8	55		2	1	4	1	0.557140276
289	2	1	1	1	1	1	1	117	4	1		1	2			1					3	1	1	1	4	2	3	2	2		2	5	69		2	1	3	1	0.526607823
290	2	2	2	2	1	2	2	163	14	1		0	2					1			8	1	1	1	4	2	3	2	2		4	3	68		2	2	2	1	0.778302718
295	2	2	2	1	1	1	1	97	1	1		1	2			99	99				10	1	9	1	4	4	4	2	3	2	3	3	73		2	1	2	1	1.286236792
298	2	1	2	1	1	1	1	81	3	1		1	1										2	2	4	1	1	1	3	1	3	3	69		2	1	2	1	0.722140744
300	2	1	2	1	1	1	1	149	6	1		1	1										2	2	4	5	1	1	1		5	3	53		2	1	2	2	1.077004995
302	2	1	1	1	1	1	1	99	9	1		1	2			9	99				10	1	1	1	4	1	4	2	2		3	8	70		2	1	2	2	0.452679478
303	2	1	1	1	1	1	1	163	13	1		0	1										2	2	4	1	2	1	1		5	7	81		2	1	9	1	0.467399486
304	1	1	2	2	1	1	1	81	3	1		1	9	9									1	9	4	1	1	2	4	3	3	8	59		2	9	4	1	1.044402325
305	2	2	1	1	1	1	2	143	4	1		2	1										2	2	4	1	1	1	1		4	3	76		2	1	3	2	0.555924288
310	2	1	1	2	1	1	1	51	4	1		1	1										2	2	1	3	2	1	1		3	9	91		2	1	3	1	0.478432946
