RESPID	PHTYPE	Q1	Q2	Q3	Q4	Q5	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7	Q8	Q9	Q9A.1	Q9A.2	Q9A.3	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	QD1	Q11	Q12	Q12B	Q13	Q14	Q15	Q16	Q17	Q18	Q19	QD2	QD2A	QD3	QD4	QD5	QD5A	QD6	QD7	QD8	QD9	QD10	QD11	FINALWGT
510	1	1	1	20	2	2	1	1	1	2	2	1	1	1	2				1	2	2	2	2	2	2	1	1	1		1	4	2	3	2	1	1	4	1	5	8	52		1	2	1	4	1	39	0.469501096
511	1	2	2	2	2	3	2	2	1	3	2	2	1	1	1	8			2	2	2	2	2	2	1	1	1	2		4	1	1	1	2	3	2	3	2	2	5	77		2	2	1	9	1	55	0.743697335
512	1	2	2	20	1	2	3	2	2	1	2	9	1	3	1	10	14	9	2	2	2	2	1	1	1	1	1	2		4	1	2	9	2	3	2	2		3	7	68		2	2	1	9	2	48	0.55100862
514	1	2	2	20	1	2	3	2	1	3	3	2	3	1	1	10			2	2	2	2	2	1	1	1	1	2		3	2	3	3	2	3	2	3	2	3	6	65		2	2	1	3	1	19	0.743697335
515	1	2	2	20	1	4	1	2	2	1	2	1	1	1	1	18			2	2	2	2	2	2	1	1	1	2		4	1	2	1	1	2	2	2		1	5	81		2	2	2	1	2	17	1.110418686
516	2	1	1	3	2	2	2	2	1	2	2	2	2	1	2				2	2	2	2	2	2	2	2				5	5	2	3	2	3	1	3	3	3	6	55		2	2	1	1	1	48	0.677688778
521	1	1	1	30	4	1	9	1	2	2	3	3	1	3	2				2	2	2	1	1	2	1	1	1	1		1	4	1	9	3	3	1	1		9	5	57		2	2	1	2	2	29	0.828489033990003
529	1	9	2	2	2	3	9	2	9	9	2	2	9	3	3				1	1	2	2	2	1	2	1	2	2		4	1	5	1	1	2	2	2		2	6	65		2	2	1	2	2	38	0.824367198
536	1	1	3	2	1	2	1	1	1	1	3	1	3	3	1	10	9		9	9	9	9	9	9	9	1	2	1		1	4	1	1	1	2	2	1		5	8	72		2	2	1	1	2	17	0.607701609089999
540	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2				2	2	2	2	2	2	2	1	1	1		1	4	1	1	2	1	1	1		5	5	63		2	2	1	2	2	5	0.786235118504999
547	2	1	1	20	3	1	1	1	1	2	2	1	1	1	1	14			2	1	2	2	2	1	1	1	1	1		2	3	2	3	2	1	1	3	1	3	5	45		2	2	1	2	2	48	0.979570881
551	1	1	1	20	1	1	1	1	1	2	2	1	3	3	1	6			1	1	2	2	2	2	1	1	1	1		2	3	1	3	2	1	1	1		4	4	47		1	2	1	4	1	27	1.64884663509
558	1	2	2	20	1	2	2	2	1	1	1	2	3	3	2				2	2	2	2	2	2	1	1	1	2		1	2	2	3	1	3	2	2		3	6	73		2	2	2	2	2	28	1.053786026
