age_recoded,male,education_recoded,race_recoded,STATEFIP,vote_choice_recoded,PERWT,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
3,False,1,1.0,6,1,2850214.0,6,california,54.0,51,30,21,"18,168",Solid Dem
2,False,1,1.0,40,1,317067.0,40,oklahoma,7.0,35,49,-14,"2,459",Solid Rep
3,False,1,2.0,34,0,161831.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
3,False,1,1.0,54,1,308528.0,54,west virginia,4.0,40,44,-4,"1,011",Competitive
2,False,1,1.0,1,1,401522.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
1,False,3,1.0,13,1,3449.0,13,georgia,16.0,42,40,2,"5,458",Competitive
1,False,1,1.0,42,0,977521.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,False,1,1.0,48,1,1508435.0,48,texas,40.0,38,41,-3,"14,138",Competitive
3,False,1,1.0,25,1,927204.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
1,True,3,1.0,13,0,4611.0,13,georgia,16.0,42,40,2,"5,458",Competitive
3,False,1,1.0,17,0,1434119.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
2,False,3,1.0,17,0,5407.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
3,False,1,1.0,12,0,2608753.0,12,florida,30.0,42,39,3,"11,094",Competitive
3,True,1,1.0,9,0,415950.0,9,connecticut,7.0,51,32,19,"2,020",Solid Dem
2,False,3,1.0,39,1,6100.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,1,1.0,18,1,900370.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
2,False,1,1.0,12,0,1281514.0,12,florida,30.0,42,39,3,"11,094",Competitive
3,False,1,1.0,48,0,2089838.0,48,texas,40.0,38,41,-3,"14,138",Competitive
3,False,1,1.0,34,1,971592.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
2,False,3,1.0,12,1,8501.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,False,3,1.0,1,0,3121.0,1,alabama,9.0,35,50,-15,"3,057",Solid Rep
3,False,1,1.0,4,1,837969.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
3,True,3,9.0,4,0,1465.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
3,False,1,1.0,16,1,231664.0,16,idaho,4.0,31,53,-22,"1,254",Solid Rep
2,False,3,1.0,4,1,2197.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
2,True,3,3.0,49,0,416.0,49,utah,6.0,29,56,-27,"2,099",Solid Rep
1,False,3,1.0,6,1,6242.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,True,3,4.0,6,0,197678.0,6,california,54.0,51,30,21,"18,168",Solid Dem
2,True,3,1.0,36,1,11863.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,True,1,1.0,42,1,1625982.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,True,3,4.0,48,0,93694.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,False,3,2.0,45,1,2000.0,45,south carolina,9.0,37,47,-10,"2,821",Solid Rep
3,False,3,2.0,36,0,14716.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,True,3,1.0,6,1,22499.0,6,california,54.0,51,30,21,"18,168",Solid Dem
1,False,1,1.0,32,1,131920.0,32,nevada,6.0,42,39,3,"1,540",Competitive
3,False,1,1.0,21,0,638351.0,21,kentucky,8.0,41,45,-4,"2,508",Competitive
3,False,3,4.0,48,1,149863.0,48,texas,40.0,38,41,-3,"14,138",Competitive
1,False,3,4.0,17,0,4050.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
3,False,1,1.0,55,0,856053.0,55,wisconsin,10.0,43,41,2,"3,353",Competitive
3,False,1,1.0,18,1,900370.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
1,False,1,9.0,37,1,49082.0,37,north carolina,16.0,44,39,5,"5,774",Competitive
2,True,3,3.0,6,0,20057.0,6,california,54.0,51,30,21,"18,168",Solid Dem
1,False,3,3.0,49,0,106.0,49,utah,6.0,29,56,-27,"2,099",Solid Rep
3,True,3,1.0,48,0,13393.0,48,texas,40.0,38,41,-3,"14,138",Competitive
1,False,3,3.0,34,0,703.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
3,True,1,1.0,12,1,2303174.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,False,3,3.0,35,1,166.0,35,new mexico,5.0,48,34,14,"1,454",Solid Dem
2,True,3,9.0,48,0,1033.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,True,3,1.0,4,0,2720.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
2,True,3,1.0,29,0,4449.0,29,missouri,10.0,38,45,-7,"3,602",Lean Rep
3,True,3,1.0,53,0,4420.0,53,washington,12.0,49,34,15,"4,686",Solid Dem
2,False,1,1.0,42,1,1192358.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,False,1,1.0,19,1,320351.0,19,iowa,6.0,42,42,0,"2,126",Competitive
2,False,3,1.0,31,1,1253.0,31,nebraska,5.0,35,50,-15,"1,437",Solid Rep
2,False,3,1.0,6,0,11143.0,6,california,54.0,51,30,21,"18,168",Solid Dem
2,False,3,1.0,6,1,11143.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,False,3,1.0,12,0,20675.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,False,3,1.0,12,0,8501.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,True,3,1.0,44,0,762.0,44,rhode island,4.0,48,27,21,602,Solid Dem
2,False,3,1.0,51,1,3733.0,51,virginia,13.0,45,38,7,"4,893",Lean Dem
2,False,3,1.0,54,0,1258.0,54,west virginia,4.0,40,44,-4,"1,011",Competitive
3,False,1,1.0,36,1,2027722.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,True,3,1.0,37,0,12136.0,37,north carolina,16.0,44,39,5,"5,774",Competitive
2,False,1,1.0,22,1,340935.0,22,louisiana,8.0,40,43,-3,"2,589",Competitive
2,False,1,1.0,16,0,171545.0,16,idaho,4.0,31,53,-22,"1,254",Solid Rep
1,False,3,1.0,42,0,3508.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
3,False,1,1.0,53,0,911816.0,53,washington,12.0,49,34,15,"4,686",Solid Dem
3,False,3,1.0,36,0,27986.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
2,False,1,1.0,47,0,641204.0,47,tennessee,11.0,35,47,-12,"4,117",Solid Rep
3,False,3,4.0,34,0,17298.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
2,False,1,1.0,4,1,452978.0,4,arizona,11.0,40,42,-2,"3,669",Competitive
1,False,3,1.0,40,1,1167.0,40,oklahoma,7.0,35,49,-14,"2,459",Solid Rep
1,False,3,1.0,36,0,7217.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
2,False,3,1.0,25,0,3322.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
3,True,1,1.0,47,1,750810.0,47,tennessee,11.0,35,47,-12,"4,117",Solid Rep
3,True,3,1.0,42,0,14033.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,False,1,1.0,5,1,266148.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
2,False,3,1.0,8,1,1284.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
3,False,3,1.0,34,1,12939.0,34,new jersey,14.0,48,33,15,"4,455",Solid Dem
2,False,1,1.0,48,1,1508435.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,False,1,1.0,51,1,668616.0,51,virginia,13.0,45,38,7,"4,893",Lean Dem
3,False,1,1.0,42,0,1896197.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,False,3,1.0,23,1,943.0,23,maine,4.0,47,39,8,941,Lean Dem
2,False,1,1.0,36,0,1320593.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
1,False,3,1.0,18,0,2873.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
2,False,3,1.0,23,0,943.0,23,maine,4.0,47,39,8,941,Lean Dem
3,True,1,1.0,54,0,268708.0,54,west virginia,4.0,40,44,-4,"1,011",Competitive
1,False,1,1.0,42,0,977521.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,False,1,1.0,29,1,592930.0,29,missouri,10.0,38,45,-7,"3,602",Lean Rep
3,False,3,4.0,36,0,49667.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,True,3,2.0,45,0,4685.0,45,south carolina,9.0,37,47,-10,"2,821",Solid Rep
3,True,1,1.0,42,1,1625982.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
1,False,3,3.0,9,0,90.0,9,connecticut,7.0,51,32,19,"2,020",Solid Dem
2,False,1,1.0,12,1,1281514.0,12,florida,30.0,42,39,3,"11,094",Competitive
1,True,1,2.0,28,0,136538.0,28,mississippi,6.0,38,45,-7,"1,654",Lean Rep
1,False,3,1.0,13,1,3449.0,13,georgia,16.0,42,40,2,"5,458",Competitive
3,True,1,1.0,18,1,775944.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
2,False,3,1.0,39,1,6100.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,True,1,4.0,6,1,936823.0,6,california,54.0,51,30,21,"18,168",Solid Dem
2,True,3,1.0,25,1,4192.0,25,massachusetts,11.0,57,26,31,"3,805",Solid Dem
1,False,1,1.0,12,0,990106.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,True,3,9.0,26,0,718.0,26,michigan,15.0,45,38,7,"5,541",Lean Dem
3,True,1,1.0,36,0,1744425.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
1,False,1,1.0,31,0,159673.0,31,nebraska,5.0,35,50,-15,"1,437",Solid Rep
1,True,1,3.0,12,0,69546.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,True,1,1.0,24,0,376080.0,24,maryland,10.0,56,28,28,"3,193",Solid Dem
2,True,1,1.0,26,0,912893.0,26,michigan,15.0,45,38,7,"5,541",Lean Dem
2,False,1,1.0,21,1,482457.0,21,kentucky,8.0,41,45,-4,"2,508",Competitive
1,True,1,1.0,13,1,587604.0,13,georgia,16.0,42,40,2,"5,458",Competitive
2,False,3,1.0,36,1,9884.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,True,1,2.0,24,0,189143.0,24,maryland,10.0,56,28,28,"3,193",Solid Dem
1,False,3,1.0,6,0,6242.0,6,california,54.0,51,30,21,"18,168",Solid Dem
1,False,3,3.0,55,0,527.0,55,wisconsin,10.0,43,41,2,"3,353",Competitive
2,True,3,1.0,6,0,13730.0,6,california,54.0,51,30,21,"18,168",Solid Dem
3,True,3,4.0,36,0,33411.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
2,False,1,1.0,48,1,1508435.0,48,texas,40.0,38,41,-3,"14,138",Competitive
3,True,1,1.0,39,1,1417121.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
1,False,1,1.0,6,0,1424354.0,6,california,54.0,51,30,21,"18,168",Solid Dem
1,False,1,3.0,53,0,100836.0,53,washington,12.0,49,34,15,"4,686",Solid Dem
1,False,3,1.0,42,1,3508.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
3,True,1,1.0,48,1,1851131.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,True,3,3.0,53,1,2134.0,53,washington,12.0,49,34,15,"4,686",Solid Dem
3,True,1,1.0,45,0,530485.0,45,south carolina,9.0,37,47,-10,"2,821",Solid Rep
3,True,1,2.0,39,0,147722.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,1,1.0,17,0,1434119.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
3,False,3,9.0,9,0,159.0,9,connecticut,7.0,51,32,19,"2,020",Solid Dem
3,True,1,1.0,26,1,1206106.0,26,michigan,15.0,45,38,7,"5,541",Lean Dem
3,False,1,1.0,36,0,2027722.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
3,True,1,9.0,40,1,47779.0,40,oklahoma,7.0,35,49,-14,"2,459",Solid Rep
3,True,3,1.0,5,1,4601.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
