STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,prop
6,3,9,True,3,2321.0,9.163173261145057e-06
8,1,1,False,1,425037.0,0.0016780214017222367
8,1,1,False,3,1593.0,6.289071523052165e-06
8,1,1,True,1,465746.0,0.001838738170480511
8,1,1,True,3,2419.0,9.550071572042177e-06
8,1,2,False,1,28189.0,0.00011128853557019302
8,1,2,False,3,477.0,1.8831683091625127e-06
8,1,2,True,1,35328.0,0.00013947289313646384
8,1,2,True,3,610.0,2.4082445882371756e-06
8,1,3,False,1,26131.0,0.00010316367104135351
8,1,3,False,3,546.0,2.155576303569669e-06
8,1,3,True,1,24641.0,9.728123753893811e-05
8,1,3,True,3,425.0,1.6778753278701633e-06
8,1,4,False,1,161649.0,0.0006381808679409036
8,1,4,False,3,2507.0,9.897490463459999e-06
8,1,4,True,1,177452.0,0.0007005701945440382
8,1,4,True,3,3734.0,1.474161523356986e-05
8,1,9,False,1,29138.0,0.0001150351324787784
8,1,9,False,3,247.0,9.751416611386597e-07
8,1,9,True,1,28652.0,0.00011311643269208452
8,1,9,True,3,194.0,7.659007378983805e-07
8,2,1,False,1,499071.0,0.0019703033358952713
8,2,1,False,3,1284.0,5.069157461141858e-06
8,2,1,True,1,519848.0,0.0020523297257474087
8,2,1,True,3,2363.0,9.328986822958108e-06
8,2,2,False,1,26027.0,0.0001027530850787688
8,2,2,False,3,1174.0,4.6348838468695805e-06
8,2,2,True,1,32375.0,0.00012781462056422714
8,2,2,True,3,490.0,1.9344915544856e-06
8,2,3,False,1,29425.0,0.00011616819181783426
8,2,3,False,3,1594.0,6.293019465000095e-06
8,2,3,True,1,24678.0,9.742731139101151e-05
8,2,3,True,3,881.0,3.4781368561261504e-06
8,2,4,False,1,145793.0,0.0005755823004145288
8,2,4,False,3,5907.0,2.3320493086421307e-05
8,2,4,True,1,150940.0,0.0005959023576205234
8,2,4,True,3,9053.0,3.574071845460844e-05
8,2,9,False,1,22283.0,8.797199042571964e-05
8,2,9,False,3,212.0,8.369636929611167e-07
8,2,9,True,1,23205.0,9.161199290171092e-05
8,2,9,True,3,209.0,8.251198671173274e-07
8,3,1,False,1,642850.0,0.0025379344812266696
8,3,1,False,3,2489.0,9.826427508397263e-06
8,3,1,True,1,577633.0,0.002280461551208532
8,3,1,True,3,1886.0,7.445818513795596e-06
8,3,2,False,1,22316.0,8.810227251000133e-05
8,3,2,False,3,769.0,3.035967357958013e-06
8,3,2,True,1,22680.0,8.953932337904778e-05
8,3,2,True,3,298.0,1.1764867004830793e-06
8,3,3,False,1,19775.0,7.807055202031172e-05
8,3,3,False,3,2940.0,1.16069493269136e-05
8,3,3,True,1,13460.0,5.3139298619135056e-05
8,3,3,True,3,1285.0,5.073105403089788e-06
8,3,4,False,1,86771.0,0.00034256687076381634
8,3,4,False,3,7150.0,2.8227784927698043e-05
8,3,4,True,1,75887.0,0.00029959747060254844
