STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
5,2,1,False,1,266148.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,1,False,3,1535.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,1,True,1,263693.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,1,True,3,1967.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,2,False,1,59161.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,2,False,3,746.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,2,True,1,50331.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,2,True,3,443.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,3,False,1,7646.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,3,False,3,369.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,3,True,1,6761.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,3,True,3,511.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,4,False,1,24302.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,4,False,3,2545.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,4,True,1,26266.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,4,True,3,3703.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,9,False,1,11360.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,9,False,3,124.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,9,True,1,11144.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,2,9,True,3,77.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,1,False,1,389550.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,1,False,3,4501.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,1,True,1,334323.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,1,True,3,4601.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,2,False,1,57815.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,2,False,3,1703.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,2,True,1,44729.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,2,True,3,1467.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,3,False,1,4219.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,3,False,3,747.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,3,True,1,3370.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,3,True,3,429.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,4,False,1,9272.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,4,False,3,1644.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,4,True,1,9477.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,4,True,3,1797.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,9,False,1,12146.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,9,False,3,315.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,9,True,1,11638.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
5,3,9,True,3,145.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
6,1,1,False,1,1424354.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,1,False,3,6242.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,1,True,1,1556291.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,1,True,3,8818.0,6,california,54.0,51,30,21,"18,168",Solid Dem
