RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,approve_trump,approve_biden,trump_stamina,biden_stamina,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,STATEFIP,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity,mrp_subgroup_estimate_se,prop_small,propensity_fix
10356,2,2,True,1.0,False,False,True,True,True,2.0,3,2.0,3,3,27,,False,1,1,26,1.03857234655,26,0,3.0,1,1,True,1,2,0.6283996942043879,0.0649377019640003,0.6232752821548939,0.6283996942043879
10512,1,2,True,1.0,False,False,True,False,False,2.0,3,3.0,3,3,30,,False,1,2,39,1.15551955435,39,1,3.0,1,1,False,1,2,0.576610103638431,0.0696848596049658,0.5334219750154965,0.576610103638431
10644,2,2,True,1.0,False,False,False,True,False,3.0,3,2.0,3,7,29,,False,1,2,12,0.697657912499997,12,0,3.0,1,1,False,3,3,0.4389207105605536,0.0491269541711467,0.3689259300784175,0.4389207105605536
10903,2,3,True,1.0,False,False,True,True,True,3.0,9,1.0,2,3,42,,False,5,1,41,2.470410597,41,1,1.0,2,9,True,1,4,0.5955285815979326,0.1345634618673523,0.7209909068005427,0.5955285815979326
11160,2,1,True,1.0,False,False,False,False,False,3.0,3,1.0,3,7,40,,False,1,2,48,0.628742386449999,48,1,3.0,2,1,False,3,3,0.5394033872886684,0.039194595384413,0.4092546370180767,0.5394033872886684
11361,2,2,True,1.0,False,False,False,True,True,3.0,1,,1,7,33,,False,1,2,17,0.751565556539998,17,0,1.0,1,1,False,3,2,0.3007362670932172,0.0491269541711467,0.3689259300784175,0.3007362670932172
11375,1,2,True,1.0,False,False,False,True,True,1.0,2,,1,7,42,,False,2,2,55,0.60563123002,55,0,2.0,2,2,False,3,2,0.0915477735663518,0.0322803864060858,0.0790572171433126,0.0915477735663518
11528,1,3,True,1.0,True,False,True,False,True,1.0,1,,4,5,36,,False,1,1,26,0.785284019879998,26,1,1.0,2,1,True,3,2,0.5268990767758065,0.040626894432691,0.5017550319222035,0.5268990767758065
11540,2,3,True,1.0,False,False,True,False,False,3.0,4,2.0,1,7,28,,False,1,1,18,0.62914356385,18,0,2.0,1,1,True,3,2,0.540127031543639,0.0503518404480937,0.4589593559582667,0.540127031543639
11541,2,2,True,1.0,False,False,False,True,True,2.0,2,,1,7,36,,False,2,2,17,0.60563123002,17,0,2.0,2,2,False,3,2,0.0565407802953305,0.0322803864060858,0.0790572171433126,0.0565407802953305
11553,1,1,True,1.0,False,True,False,True,True,3.0,2,,3,4,38,,False,1,2,55,1.29873526382,55,0,2.0,2,1,False,3,2,0.4358795725851693,0.039194595384413,0.4092546370180767,0.4358795725851693
11598,1,2,True,1.0,True,False,True,False,True,3.0,3,1.0,2,3,54,,False,1,2,18,1.16396084965,18,1,3.0,2,1,False,1,2,0.5936392311675527,0.0632724964544724,0.5607102200935249,0.5936392311675527
11616,1,2,True,1.0,False,False,True,False,False,2.0,3,2.0,1,7,50,,False,1,2,20,0.5204702984,20,1,3.0,2,1,False,3,2,0.5934714341159198,0.039194595384413,0.4092546370180767,0.5934714341159198
11685,1,2,True,1.0,True,False,True,False,False,2.0,1,,3,3,99,2.0,False,1,2,18,1.24972638594,18,1,1.0,3,1,False,1,2,0.5929810641275924,0.0561200944636819,0.5489726726016116,0.5929810641275924
11855,1,3,True,1.0,False,False,False,True,True,1.0,3,2.0,1,5,21,,False,1,2,29,1.5117525788,29,0,3.0,1,1,False,3,2,0.4621010692194855,0.0491269541711467,0.3689259300784175,0.4621010692194855
11950,1,3,True,1.0,False,False,True,False,True,1.0,2,,2,7,26,,True,4,1,20,0.950521600460002,20,1,2.0,1,4,True,3,2,0.5851009414056205,0.0774964155730101,0.3959243556474406,0.5851009414056205
11962,1,1,True,1.0,False,False,False,True,True,1.0,2,,3,7,44,,False,1,1,32,0.63054263134,32,0,2.0,2,1,True,3,4,0.5306957613929765,0.040626894432691,0.5017550319222035,0.5306957613929765
11977,1,1,True,2.0,False,True,False,True,True,3.0,2,,3,3,54,,False,1,2,41,1.2854131234,41,0,2.0,2,1,False,1,4,0.4451358848034039,0.0632724964544724,0.5607102200935249,0.4451358848034039
11984,1,2,True,1.0,False,True,False,True,True,1.0,2,,1,8,53,,False,1,1,6,0.51660637742,6,0,2.0,2,1,True,3,4,0.367873356081464,0.040626894432691,0.5017550319222035,0.367873356081464
11987,1,2,True,1.0,False,False,False,True,False,1.0,2,,3,7,42,,False,1,1,6,0.51660637742,6,0,2.0,2,1,True,3,4,0.367873356081464,0.040626894432691,0.5017550319222035,0.367873356081464
11996,2,1,True,1.0,True,False,True,False,True,3.0,1,,4,3,88,,False,2,2,12,1.4382182733,12,1,1.0,3,2,False,1,3,0.1511969718877513,0.0606466708135542,0.141918767178789,0.1511969718877513
12006,2,3,True,1.0,False,False,True,False,False,3.0,1,,3,8,40,,False,1,2,36,0.583357015859998,36,1,1.0,2,1,False,3,1,0.2967990850981584,0.039194595384413,0.4092546370180767,0.2967990850981584
12010,2,2,True,1.0,False,False,False,True,False,1.0,2,,3,6,71,,False,1,2,36,1.08612637014,36,0,2.0,3,1,False,3,1,0.2960016146071869,0.0360106900661803,0.4017733184599421,0.2960016146071869
12022,2,2,True,1.0,False,False,True,False,True,1.0,1,,2,6,53,,False,1,2,12,0.870802217279999,12,1,1.0,2,1,False,3,3,0.4559406927141373,0.039194595384413,0.4092546370180767,0.4559406927141373
12029,2,2,True,1.0,True,False,True,False,True,3.0,1,,1,3,55,,False,1,1,9,1.29826662738,9,1,1.0,3,1,True,1,1,0.4972361587449296,0.0534926909646688,0.6383140764053872,0.4972361587449296
12035,2,2,True,1.0,False,False,False,True,True,3.0,2,,1,8,80,,False,1,1,24,0.58587780566,24,0,2.0,3,1,True,3,3,0.3204342716734218,0.0404990786070361,0.4940945771976026,0.3204342716734218
12048,2,3,True,1.0,False,False,True,False,False,1.0,1,,2,3,37,,False,1,1,42,1.17256331658,42,1,1.0,2,1,True,1,1,0.5438734592467176,0.0578346671219618,0.6490764245733576,0.5438734592467176
12049,2,2,True,1.0,False,False,False,True,False,3.0,2,,1,7,30,,False,1,2,36,0.815331968120002,36,0,2.0,1,1,False,3,1,0.2827919369388688,0.0491269541711467,0.3689259300784175,0.2827919369388688
12065,2,3,True,1.0,False,True,False,True,True,3.0,2,,1,7,37,,False,2,1,17,0.54433682754,17,0,2.0,2,2,True,3,2,0.0780119813459667,0.0448124559875541,0.113641149893248,0.0780119813459667
