"","STATEFIP","male","race_recoded","education_recoded","age_recoded","mean","lower","upper"
"1691","32","True","9","3","2",1.23353884269277e-06,9.34649224107442e-07,1.52808878980783e-06
"1692","32","False","1","1","3",0.00166411348300453,0.00151973829002052,0.0018064319656822
"1693","32","False","1","3","3",1.32488569466864e-05,9.37567838820088e-06,1.68412319579875e-05
"1694","32","True","1","1","3",0.00154752380837364,0.00140016541231306,0.00169542948980317
"1695","32","True","1","3","3",8.73741691824499e-06,6.03948915987463e-06,1.12134459316244e-05
"1696","32","False","2","1","3",0.000243220603833128,0.00022180188832876,0.000263756959198123
"1697","32","False","2","3","3",4.86664109390111e-06,3.75434617160747e-06,5.89267212857292e-06
"1698","32","True","2","1","3",0.000200391713370083,0.000181383568312238,0.000218390705370101
"1699","32","True","2","3","3",4.72635775249418e-06,3.59645480110599e-06,5.76118952808817e-06
"1700","32","False","3","1","3",0.000304893645770503,0.000262197634679537,0.000348508158998325
"1701","32","False","3","3","3",1.75657408694441e-05,1.29453272902461e-05,2.19203623851257e-05
"1702","32","True","3","1","3",0.00021543501115327,0.000184175620917116,0.000247936620560421
"1703","32","True","3","3","3",6.58086940274495e-06,4.78773000984028e-06,8.29803607762499e-06
"1704","32","False","4","1","3",0.000317043071821766,0.000282050271672426,0.000352431077812081
"1705","32","False","4","3","3",5.76438897933948e-05,4.12207249625755e-05,7.27328170986668e-05
"1706","32","True","4","1","3",0.00028616204697489,0.00025159877379577,0.000319260045354691
"1707","32","True","4","3","3",4.32839338525664e-05,3.05898511452219e-05,5.54382708326027e-05
"1708","32","False","9","1","3",8.99049607001054e-05,7.94757482222271e-05,0.000100914537573857
"1709","32","False","9","3","3",1.00379254737159e-06,7.68703367523062e-07,1.23098486542995e-06
"1710","32","True","9","1","3",7.58378317734328e-05,6.67859456536518e-05,8.53861692066941e-05
"1711","32","True","9","3","3",7.8192083415139e-07,5.96378224656619e-07,9.68493326600839e-07
"1712","33","False","1","1","1",0.000768153160008148,0.000694892291997545,0.000846168612562923
"1713","33","False","1","3","1",2.833882834705e-06,2.08040329326281e-06,3.55467438226096e-06
"1714","33","True","1","1","1",0.000746586618917036,0.000674608741547271,0.000822886226022644
