RESPID,PHTYPE,top_household_concern,registered_vote,likely_to_vote,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity
1461,1,20.0,True,1.0,False,True,True,1.0,2,,3,8,73,,False,1,2,34,0.606776239475001,0,2.0,3,1,False,3,1,0.4017733184599421
1483,2,4.0,True,1.0,True,False,True,1.0,3,3.0,3,3,47,,True,9,1,9,3.311513391,1,3.0,2,4,True,1,1,0.4857144663296094
1487,2,17.0,True,1.0,True,False,True,1.0,4,1.0,4,5,53,,False,1,1,17,0.79834643,1,1.0,2,1,True,3,2,0.5017550319222035
1489,2,20.0,True,1.0,True,False,True,1.0,1,,3,3,35,,False,1,1,48,1.5258696824,1,1.0,2,1,True,1,3,0.6490764245733576
1490,2,14.0,True,1.0,False,True,True,1.0,4,3.0,1,8,98,,False,9,1,39,0.502546937,0,3.0,3,9,True,3,2,0.55438178108617
1494,2,1.0,True,1.0,False,False,True,1.0,4,3.0,3,9,48,,False,1,2,25,1.038656435,0,3.0,2,1,False,3,1,0.4092546370180767
1495,2,17.0,True,1.0,True,False,True,1.0,1,,4,8,40,,False,1,2,34,0.55165338662,1,1.0,2,1,False,3,1,0.4092546370180767
1515,1,20.0,True,1.0,False,True,True,1.0,2,,3,8,99,3.0,False,2,1,36,0.505891411925,0,2.0,3,2,True,3,1,0.1107553113143782
1541,2,8.0,True,1.0,False,False,False,2.0,4,3.0,1,7,99,2.0,True,2,2,42,1.093051047,0,3.0,3,4,False,3,1,0.3483251919970561
1545,1,20.0,True,1.0,False,True,True,3.0,2,,3,7,53,,False,2,2,37,0.465451295625,0,2.0,2,2,False,3,3,0.0790572171433126
1552,2,2.0,True,1.0,False,False,False,2.0,3,2.0,1,7,27,,False,2,2,42,0.645797179,0,3.0,1,2,False,3,1,0.0680827394291932
1556,2,1.0,True,1.0,False,False,False,2.0,2,,1,8,52,,False,1,2,9,0.576984409475001,0,2.0,2,1,False,3,1,0.4092546370180767
1557,2,9.0,True,1.0,False,False,False,3.0,3,3.0,3,8,99,3.0,False,2,1,48,0.450607614,0,3.0,3,2,True,3,3,0.1107553113143782
1561,2,5.0,True,1.0,False,False,False,2.0,3,1.0,2,7,25,,False,1,1,13,0.472227813,1,3.0,1,1,True,3,3,0.4589593559582667
1568,2,3.0,True,1.0,False,True,True,1.0,2,,1,5,69,,False,2,2,51,0.885910535025002,0,2.0,3,2,False,3,3,0.0768634545783466
1581,2,15.0,True,1.0,False,False,True,3.0,3,2.0,1,5,46,,False,2,1,36,0.901751381,0,3.0,2,2,True,3,1,0.113641149893248
1586,2,1.0,True,1.0,False,False,False,2.0,3,2.0,1,5,56,,False,1,1,17,0.790840946,0,3.0,3,1,True,3,2,0.4940945771976026
1592,1,20.0,True,1.0,True,True,True,3.0,1,,2,7,61,,False,1,2,18,0.49949350304,1,1.0,3,1,False,3,2,0.4017733184599421
1594,2,20.0,True,1.0,False,False,True,1.0,3,2.0,3,5,39,,False,1,2,48,0.987468295,0,3.0,2,1,False,3,3,0.4092546370180767
1597,2,30.0,True,1.0,False,False,True,1.0,1,,3,7,46,,False,1,1,51,0.39229809836,1,1.0,2,1,True,3,3,0.5017550319222035
1601,2,20.0,True,1.0,False,True,True,3.0,2,,1,5,73,,False,1,2,37,0.91095174115,0,2.0,3,1,False,3,3,0.4017733184599421
1603,2,13.0,True,1.0,False,False,False,3.0,3,3.0,3,3,24,,False,2,1,13,1.960718903,0,3.0,1,2,True,1,3,0.1879762443681596
1607,2,20.0,True,1.0,False,False,True,3.0,4,2.0,1,8,39,,False,1,1,42,0.48258571,0,2.0,2,1,True,3,1,0.5017550319222035
1608,1,20.0,True,1.0,True,False,True,1.0,1,,2,5,51,,False,1,1,12,0.753761699179997,1,1.0,2,1,True,3,3,0.5017550319222035
1638,2,2.0,True,1.0,False,False,True,3.0,1,,2,5,65,,False,1,1,47,0.746675369160003,0,1.0,3,1,True,3,3,0.4940945771976026
1639,2,20.0,True,1.0,False,False,False,2.0,1,,2,7,61,,False,1,1,12,0.41255389378,1,1.0,3,1,True,3,3,0.4940945771976026
1641,2,4.0,True,1.0,False,False,False,2.0,3,3.0,3,8,42,,False,1,2,25,0.562911619,0,3.0,2,1,False,3,1,0.4092546370180767
1642,2,20.0,True,1.0,False,False,True,1.0,4,2.0,1,4,46,,False,1,1,17,1.468335676,0,2.0,2,1,True,3,2,0.5017550319222035
1643,2,20.0,True,2.0,False,False,True,3.0,4,9.0,2,6,50,,False,1,1,36,0.927240346,0,3.0,2,1,True,3,1,0.5017550319222035
1647,2,9.0,True,1.0,True,False,False,3.0,1,,3,7,71,,False,1,1,24,0.49735331926,1,1.0,3,1,True,3,3,0.4940945771976026
1653,2,15.0,True,1.0,False,False,True,1.0,3,2.0,3,8,43,,False,1,2,25,0.562911619,0,3.0,2,1,False,3,1,0.4092546370180767
1655,2,20.0,True,1.0,False,True,True,1.0,2,,1,3,65,,False,1,2,24,1.4813779167,0,2.0,3,1,False,1,3,0.5489726726016116
